trend_window,sniper_threshold_l2,trailing_stop_mult,sharpe,total_return,max_drawdown
700,4.0,4.0,10.282176139923036,1.0368601984250572,-0.0866916407340852
700,4.0,2.0,10.282176139923036,1.0368601984250572,-0.0866916407340852
700,4.0,3.0,10.282176139923036,1.0368601984250572,-0.0866916407340852
500,4.0,2.0,8.913383423955493,1.0279036514576538,-0.13449253749419965
500,4.0,4.0,8.913383423955493,1.0279036514576538,-0.13449253749419965
500,4.0,3.0,8.913383423955493,1.0279036514576538,-0.13449253749419965
700,3.5,3.0,8.813043202527847,0.9717099902151263,-0.10388424474250935
700,3.5,2.0,8.813043202527847,0.9717099902151263,-0.10388424474250935
700,3.5,4.0,8.813043202527847,0.9717099902151263,-0.10388424474250935
500,3.5,4.0,7.880302588455716,0.962505431356713,-0.14194516611496266
500,3.5,2.0,7.880302588455716,0.962505431356713,-0.14194516611496266
500,3.5,3.0,7.880302588455716,0.962505431356713,-0.14194516611496266
